"STATISTIC","Statistic Label","TLIST(A1)","Year","C03659V04401","Modes of travel","UNIT","VALUE"
"NTA53","Main road traffic collisions","2019","2019","-","All modes of travel","%","100"
"NTA53","Main road traffic collisions","2019","2019","10","Car with another car","%","67.1"
"NTA53","Main road traffic collisions","2019","2019","20","Car with motorcycle/electric personal mobility vehicle","%","2.2"
"NTA53","Main road traffic collisions","2019","2019","30","Car with bicycle","%","3.7"
"NTA53","Main road traffic collisions","2019","2019","40","Car with van/lorry","%","10.9"
"NTA53","Main road traffic collisions","2019","2019","50","Car with pedestrian","%","1.3"
"NTA53","Main road traffic collisions","2019","2019","60","Pedestrian with bicycle","%","3.2"
"NTA53","Main road traffic collisions","2019","2019","70","No other vehicle involved","%","7.2"
"NTA53","Main road traffic collisions","2019","2019","61","Pedestrian with motorcycle/ electric personal mobility vehicle","%",""
"NTA53","Main road traffic collisions","2019","2019","80","Other modes of travel","%","4.4"
"NTA53","Main road traffic collisions","2021","2021","-","All modes of travel","%","100"
"NTA53","Main road traffic collisions","2021","2021","10","Car with another car","%","64.3"
"NTA53","Main road traffic collisions","2021","2021","20","Car with motorcycle/electric personal mobility vehicle","%","3"
"NTA53","Main road traffic collisions","2021","2021","30","Car with bicycle","%","4.5"
"NTA53","Main road traffic collisions","2021","2021","40","Car with van/lorry","%","16"
"NTA53","Main road traffic collisions","2021","2021","50","Car with pedestrian","%","1.1"
"NTA53","Main road traffic collisions","2021","2021","60","Pedestrian with bicycle","%","0.7"
"NTA53","Main road traffic collisions","2021","2021","70","No other vehicle involved","%","7.9"
"NTA53","Main road traffic collisions","2021","2021","61","Pedestrian with motorcycle/ electric personal mobility vehicle","%","2.6"
"NTA53","Main road traffic collisions","2021","2021","80","Other modes of travel","%",""
