"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02617V03175","Type of Journey","UNIT","VALUE"
"TCA01","Passenger Journeys by Rail (Thousand)","1981","1981","-","All journeys","Number","15374"
"TCA01","Passenger Journeys by Rail (Thousand)","1981","1981","01","Mainline and other services","Number","7379"
"TCA01","Passenger Journeys by Rail (Thousand)","1981","1981","02","Dublin suburban services","Number","7995"
"TCA01","Passenger Journeys by Rail (Thousand)","1981","1981","03","DART","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1981","1981","04","International journeys","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1982","1982","-","All journeys","Number","12813"
"TCA01","Passenger Journeys by Rail (Thousand)","1982","1982","01","Mainline and other services","Number","6677"
"TCA01","Passenger Journeys by Rail (Thousand)","1982","1982","02","Dublin suburban services","Number","6136"
"TCA01","Passenger Journeys by Rail (Thousand)","1982","1982","03","DART","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1982","1982","04","International journeys","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1983","1983","-","All journeys","Number","13027"
"TCA01","Passenger Journeys by Rail (Thousand)","1983","1983","01","Mainline and other services","Number","6523"
"TCA01","Passenger Journeys by Rail (Thousand)","1983","1983","02","Dublin suburban services","Number","6504"
"TCA01","Passenger Journeys by Rail (Thousand)","1983","1983","03","DART","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1983","1983","04","International journeys","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1984","1984","-","All journeys","Number","15560"
"TCA01","Passenger Journeys by Rail (Thousand)","1984","1984","01","Mainline and other services","Number","6795"
"TCA01","Passenger Journeys by Rail (Thousand)","1984","1984","02","Dublin suburban services","Number","8765"
"TCA01","Passenger Journeys by Rail (Thousand)","1984","1984","03","DART","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1984","1984","04","International journeys","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1985","1985","-","All journeys","Number","20090"
"TCA01","Passenger Journeys by Rail (Thousand)","1985","1985","01","Mainline and other services","Number","6730"
"TCA01","Passenger Journeys by Rail (Thousand)","1985","1985","02","Dublin suburban services","Number","13360"
"TCA01","Passenger Journeys by Rail (Thousand)","1985","1985","03","DART","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1985","1985","04","International journeys","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1986","1986","-","All journeys","Number","21735"
"TCA01","Passenger Journeys by Rail (Thousand)","1986","1986","01","Mainline and other services","Number","6974"
"TCA01","Passenger Journeys by Rail (Thousand)","1986","1986","02","Dublin suburban services","Number","14761"
"TCA01","Passenger Journeys by Rail (Thousand)","1986","1986","03","DART","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1986","1986","04","International journeys","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1987","1987","-","All journeys","Number","24895"
"TCA01","Passenger Journeys by Rail (Thousand)","1987","1987","01","Mainline and other services","Number","7535"
"TCA01","Passenger Journeys by Rail (Thousand)","1987","1987","02","Dublin suburban services","Number","17360"
"TCA01","Passenger Journeys by Rail (Thousand)","1987","1987","03","DART","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1987","1987","04","International journeys","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1988","1988","-","All journeys","Number","25485"
"TCA01","Passenger Journeys by Rail (Thousand)","1988","1988","01","Mainline and other services","Number","7343"
"TCA01","Passenger Journeys by Rail (Thousand)","1988","1988","02","Dublin suburban services","Number","18142"
"TCA01","Passenger Journeys by Rail (Thousand)","1988","1988","03","DART","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1988","1988","04","International journeys","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1989","1989","-","All journeys","Number","26309"
"TCA01","Passenger Journeys by Rail (Thousand)","1989","1989","01","Mainline and other services","Number","7583"
"TCA01","Passenger Journeys by Rail (Thousand)","1989","1989","02","Dublin suburban services","Number","18726"
"TCA01","Passenger Journeys by Rail (Thousand)","1989","1989","03","DART","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1989","1989","04","International journeys","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1990","1990","-","All journeys","Number","26767"
"TCA01","Passenger Journeys by Rail (Thousand)","1990","1990","01","Mainline and other services","Number","7787"
"TCA01","Passenger Journeys by Rail (Thousand)","1990","1990","02","Dublin suburban services","Number","18980"
"TCA01","Passenger Journeys by Rail (Thousand)","1990","1990","03","DART","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1990","1990","04","International journeys","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1991","1991","-","All journeys","Number","26837"
"TCA01","Passenger Journeys by Rail (Thousand)","1991","1991","01","Mainline and other services","Number","7742"
"TCA01","Passenger Journeys by Rail (Thousand)","1991","1991","02","Dublin suburban services","Number","19095"
"TCA01","Passenger Journeys by Rail (Thousand)","1991","1991","03","DART","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1991","1991","04","International journeys","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1992","1992","-","All journeys","Number","25837"
"TCA01","Passenger Journeys by Rail (Thousand)","1992","1992","01","Mainline and other services","Number","7630"
"TCA01","Passenger Journeys by Rail (Thousand)","1992","1992","02","Dublin suburban services","Number","18207"
"TCA01","Passenger Journeys by Rail (Thousand)","1992","1992","03","DART","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1992","1992","04","International journeys","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1993","1993","-","All journeys","Number","26143"
"TCA01","Passenger Journeys by Rail (Thousand)","1993","1993","01","Mainline and other services","Number","7903"
"TCA01","Passenger Journeys by Rail (Thousand)","1993","1993","02","Dublin suburban services","Number","18240"
"TCA01","Passenger Journeys by Rail (Thousand)","1993","1993","03","DART","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1993","1993","04","International journeys","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1994","1994","-","All journeys","Number","25813"
"TCA01","Passenger Journeys by Rail (Thousand)","1994","1994","01","Mainline and other services","Number","7850"
"TCA01","Passenger Journeys by Rail (Thousand)","1994","1994","02","Dublin suburban services","Number","17963"
"TCA01","Passenger Journeys by Rail (Thousand)","1994","1994","03","DART","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1994","1994","04","International journeys","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1995","1995","-","All journeys","Number","27124"
"TCA01","Passenger Journeys by Rail (Thousand)","1995","1995","01","Mainline and other services","Number","8312"
"TCA01","Passenger Journeys by Rail (Thousand)","1995","1995","02","Dublin suburban services","Number","18812"
"TCA01","Passenger Journeys by Rail (Thousand)","1995","1995","03","DART","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1995","1995","04","International journeys","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1996","1996","-","All journeys","Number","27930"
"TCA01","Passenger Journeys by Rail (Thousand)","1996","1996","01","Mainline and other services","Number","8393"
"TCA01","Passenger Journeys by Rail (Thousand)","1996","1996","02","Dublin suburban services","Number","19537"
"TCA01","Passenger Journeys by Rail (Thousand)","1996","1996","03","DART","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1996","1996","04","International journeys","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1997","1997","-","All journeys","Number","29467"
"TCA01","Passenger Journeys by Rail (Thousand)","1997","1997","01","Mainline and other services","Number","8906"
"TCA01","Passenger Journeys by Rail (Thousand)","1997","1997","02","Dublin suburban services","Number","20561"
"TCA01","Passenger Journeys by Rail (Thousand)","1997","1997","03","DART","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1997","1997","04","International journeys","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1998","1998","-","All journeys","Number","32146"
"TCA01","Passenger Journeys by Rail (Thousand)","1998","1998","01","Mainline and other services","Number","9831"
"TCA01","Passenger Journeys by Rail (Thousand)","1998","1998","02","Dublin suburban services","Number","22315"
"TCA01","Passenger Journeys by Rail (Thousand)","1998","1998","03","DART","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1998","1998","04","International journeys","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1999","1999","-","All journeys","Number","32765"
"TCA01","Passenger Journeys by Rail (Thousand)","1999","1999","01","Mainline and other services","Number","10219"
"TCA01","Passenger Journeys by Rail (Thousand)","1999","1999","02","Dublin suburban services","Number","22546"
"TCA01","Passenger Journeys by Rail (Thousand)","1999","1999","03","DART","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","1999","1999","04","International journeys","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","2000","2000","-","All journeys","Number","31721"
"TCA01","Passenger Journeys by Rail (Thousand)","2000","2000","01","Mainline and other services","Number","9695"
"TCA01","Passenger Journeys by Rail (Thousand)","2000","2000","02","Dublin suburban services","Number","22026"
"TCA01","Passenger Journeys by Rail (Thousand)","2000","2000","03","DART","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","2000","2000","04","International journeys","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","2001","2001","-","All journeys","Number","34206"
"TCA01","Passenger Journeys by Rail (Thousand)","2001","2001","01","Mainline and other services","Number","10833"
"TCA01","Passenger Journeys by Rail (Thousand)","2001","2001","02","Dublin suburban services","Number","23373"
"TCA01","Passenger Journeys by Rail (Thousand)","2001","2001","03","DART","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","2001","2001","04","International journeys","Number",""
"TCA01","Passenger Journeys by Rail (Thousand)","2002","2002","-","All journeys","Number","35370"
