"STATISTIC","Statistic Label","TLIST(M1)","Month","C02935V03550","Airport","UNIT","VALUE"
"TAM08C01","Passengers","201901","2019 January","EIDW","Dublin","Number","2054794"
"TAM08C01","Passengers","201901","2019 January","EICK","Cork","Number","148939"
"TAM08C01","Passengers","201901","2019 January","EINN","Shannon","Number","87016"
"TAM08C01","Passengers","201901","2019 January","EIKN","Knock","Number","42413"
"TAM08C01","Passengers","201901","2019 January","EIKY","Kerry","Number","20829"
"TAM08C01","Passengers","201901","2019 January","EI0M","All main airports","Number","2353991"
"TAM08C01","Passengers","201902","2019 February","EIDW","Dublin","Number","1993325"
"TAM08C01","Passengers","201902","2019 February","EICK","Cork","Number","150482"
"TAM08C01","Passengers","201902","2019 February","EINN","Shannon","Number","82497"
"TAM08C01","Passengers","201902","2019 February","EIKN","Knock","Number","45456"
"TAM08C01","Passengers","201902","2019 February","EIKY","Kerry","Number","22231"
"TAM08C01","Passengers","201902","2019 February","EI0M","All main airports","Number","2293991"
"TAM08C01","Passengers","201903","2019 March","EIDW","Dublin","Number","2432195"
"TAM08C01","Passengers","201903","2019 March","EICK","Cork","Number","174876"
"TAM08C01","Passengers","201903","2019 March","EINN","Shannon","Number","100374"
"TAM08C01","Passengers","201903","2019 March","EIKN","Knock","Number","54700"
"TAM08C01","Passengers","201903","2019 March","EIKY","Kerry","Number","25546"
"TAM08C01","Passengers","201903","2019 March","EI0M","All main airports","Number","2787691"
"TAM08C01","Passengers","201904","2019 April","EIDW","Dublin","Number","2789660"
"TAM08C01","Passengers","201904","2019 April","EICK","Cork","Number","210510"
"TAM08C01","Passengers","201904","2019 April","EINN","Shannon","Number","128840"
"TAM08C01","Passengers","201904","2019 April","EIKN","Knock","Number","71563"
"TAM08C01","Passengers","201904","2019 April","EIKY","Kerry","Number","32171"
"TAM08C01","Passengers","201904","2019 April","EI0M","All main airports","Number","3232744"
"TAM08C01","Passengers","201905","2019 May","EIDW","Dublin","Number","2965517"
"TAM08C01","Passengers","201905","2019 May","EICK","Cork","Number","239077"
"TAM08C01","Passengers","201905","2019 May","EINN","Shannon","Number","160902"
"TAM08C01","Passengers","201905","2019 May","EIKN","Knock","Number","73850"
"TAM08C01","Passengers","201905","2019 May","EIKY","Kerry","Number","34213"
"TAM08C01","Passengers","201905","2019 May","EI0M","All main airports","Number","3473559"
"TAM08C01","Passengers","201906","2019 June","EIDW","Dublin","Number","3202409"
"TAM08C01","Passengers","201906","2019 June","EICK","Cork","Number","278961"
"TAM08C01","Passengers","201906","2019 June","EINN","Shannon","Number","178680"
