"STATISTIC","Statistic Label","TLIST(A1)","Year","C02196V02652","State","UNIT","VALUE"
"TCA02C1","Rail Passenger Traffic (000 Kilometres)","1981","1981","-","State","000 Kilometres","994631"
"TCA02C1","Rail Passenger Traffic (000 Kilometres)","1982","1982","-","State","000 Kilometres","887491"
"TCA02C1","Rail Passenger Traffic (000 Kilometres)","1983","1983","-","State","000 Kilometres","845716"
"TCA02C1","Rail Passenger Traffic (000 Kilometres)","1984","1984","-","State","000 Kilometres","903436"
"TCA02C1","Rail Passenger Traffic (000 Kilometres)","1985","1985","-","State","000 Kilometres","1023427"
"TCA02C1","Rail Passenger Traffic (000 Kilometres)","1986","1986","-","State","000 Kilometres","1075372"
"TCA02C1","Rail Passenger Traffic (000 Kilometres)","1987","1987","-","State","000 Kilometres","1196008"
"TCA02C1","Rail Passenger Traffic (000 Kilometres)","1988","1988","-","State","000 Kilometres","1180280"
"TCA02C1","Rail Passenger Traffic (000 Kilometres)","1989","1989","-","State","000 Kilometres","1219865"
"TCA02C1","Rail Passenger Traffic (000 Kilometres)","1990","1990","-","State","000 Kilometres","1225556"
"TCA02C1","Rail Passenger Traffic (000 Kilometres)","1991","1991","-","State","000 Kilometres","1290198"
"TCA02C1","Rail Passenger Traffic (000 Kilometres)","1992","1992","-","State","000 Kilometres","1225589"
"TCA02C1","Rail Passenger Traffic (000 Kilometres)","1993","1993","-","State","000 Kilometres","1273664"
"TCA02C1","Rail Passenger Traffic (000 Kilometres)","1994","1994","-","State","000 Kilometres","1260327"
"TCA02C1","Rail Passenger Traffic (000 Kilometres)","1995","1995","-","State","000 Kilometres","1291214"
"TCA02C1","Rail Passenger Traffic (000 Kilometres)","1996","1996","-","State","000 Kilometres","1295341"
"TCA02C1","Rail Passenger Traffic (000 Kilometres)","1997","1997","-","State","000 Kilometres","1387422"
"TCA02C1","Rail Passenger Traffic (000 Kilometres)","1998","1998","-","State","000 Kilometres","1420675"
"TCA02C1","Rail Passenger Traffic (000 Kilometres)","1999","1999","-","State","000 Kilometres","1457650"
"TCA02C1","Rail Passenger Traffic (000 Kilometres)","2000","2000","-","State","000 Kilometres","1389138"
"TCA02C1","Rail Passenger Traffic (000 Kilometres)","2001","2001","-","State","000 Kilometres","1515303"
"TCA02C1","Rail Passenger Traffic (000 Kilometres)","2002","2002","-","State","000 Kilometres","1628000"
"TCA02C1","Rail Passenger Traffic (000 Kilometres)","2003","2003","-","State","000 Kilometres","1601000"
"TCA02C1","Rail Passenger Traffic (000 Kilometres)","2004","2004","-","State","000 Kilometres","1581698"
"TCA02C1","Rail Passenger Traffic (000 Kilometres)","2005","2005","-","State","000 Kilometres","1781000"
"TCA02C1","Rail Passenger Traffic (000 Kilometres)","2006","2006","-","State","000 Kilometres","1872067"
"TCA02C1","Rail Passenger Traffic (000 Kilometres)","2007","2007","-","State","000 Kilometres","2007065"
