"STATISTIC","Statistic Label","TLIST(A1)","Year","C03844V04594","Type of Vehicle","UNIT","VALUE"
"TOA06C01","Small public service vehicles by type","2013","2013","-","All small public Service vehicles","Number","21901"
"TOA06C01","Small public service vehicles by type","2013","2013","10","Hackney","Number","2532"
"TOA06C01","Small public service vehicles by type","2013","2013","20","Limousine","Number","1316"
"TOA06C01","Small public service vehicles by type","2013","2013","30","Taxi","Number","17137"
"TOA06C01","Small public service vehicles by type","2013","2013","40","Wheelchair accessible taxi","Number","898"
"TOA06C01","Small public service vehicles by type","2013","2013","50","Wheelchair accessible hackney","Number","18"
"TOA06C01","Small public service vehicles by type","2013","2013","60","Local area hackney","Number",""
"TOA06C01","Small public service vehicles by type","2014","2014","-","All small public Service vehicles","Number","21547"
"TOA06C01","Small public service vehicles by type","2014","2014","10","Hackney","Number","2281"
"TOA06C01","Small public service vehicles by type","2014","2014","20","Limousine","Number","1437"
"TOA06C01","Small public service vehicles by type","2014","2014","30","Taxi","Number","16899"
"TOA06C01","Small public service vehicles by type","2014","2014","40","Wheelchair accessible taxi","Number","889"
"TOA06C01","Small public service vehicles by type","2014","2014","50","Wheelchair accessible hackney","Number","35"
"TOA06C01","Small public service vehicles by type","2014","2014","60","Local area hackney","Number","6"
"TOA06C01","Small public service vehicles by type","2015","2015","-","All small public Service vehicles","Number","21146"
"TOA06C01","Small public service vehicles by type","2015","2015","10","Hackney","Number","2081"
"TOA06C01","Small public service vehicles by type","2015","2015","20","Limousine","Number","1571"
"TOA06C01","Small public service vehicles by type","2015","2015","30","Taxi","Number","16460"
"TOA06C01","Small public service vehicles by type","2015","2015","40","Wheelchair accessible taxi","Number","969"
"TOA06C01","Small public service vehicles by type","2015","2015","50","Wheelchair accessible hackney","Number","51"
"TOA06C01","Small public service vehicles by type","2015","2015","60","Local area hackney","Number","14"
"TOA06C01","Small public service vehicles by type","2016","2016","-","All small public Service vehicles","Number","20804"
"TOA06C01","Small public service vehicles by type","2016","2016","10","Hackney","Number","1838"
"TOA06C01","Small public service vehicles by type","2016","2016","20","Limousine","Number","1741"
"TOA06C01","Small public service vehicles by type","2016","2016","30","Taxi","Number","15961"
"TOA06C01","Small public service vehicles by type","2016","2016","40","Wheelchair accessible taxi","Number","1185"
"TOA06C01","Small public service vehicles by type","2016","2016","50","Wheelchair accessible hackney","Number","69"
"TOA06C01","Small public service vehicles by type","2016","2016","60","Local area hackney","Number","10"
"TOA06C01","Small public service vehicles by type","2017","2017","-","All small public Service vehicles","Number","20581"
"TOA06C01","Small public service vehicles by type","2017","2017","10","Hackney","Number","1631"
"TOA06C01","Small public service vehicles by type","2017","2017","20","Limousine","Number","1894"
"TOA06C01","Small public service vehicles by type","2017","2017","30","Taxi","Number","15490"
"TOA06C01","Small public service vehicles by type","2017","2017","40","Wheelchair accessible taxi","Number","1471"
