"STATISTIC Label","Year","Age Group","Sex","Region","UNIT","VALUE"
"Estimated Population (Persons in April)","2011","0 - 4 years","Both sexes","State","Thousand","356"
"Estimated Population (Persons in April)","2011","0 - 4 years","Both sexes","Border","Thousand","30.7"
"Estimated Population (Persons in April)","2011","0 - 4 years","Both sexes","West","Thousand","32.6"
"Estimated Population (Persons in April)","2011","0 - 4 years","Both sexes","Mid-West","Thousand","35"
"Estimated Population (Persons in April)","2011","0 - 4 years","Both sexes","South-East","Thousand","32"
"Estimated Population (Persons in April)","2011","0 - 4 years","Both sexes","South-West","Thousand","50.1"
"Estimated Population (Persons in April)","2011","0 - 4 years","Both sexes","Dublin","Thousand","93.3"
"Estimated Population (Persons in April)","2011","0 - 4 years","Both sexes","Mid-East","Thousand","58.5"
"Estimated Population (Persons in April)","2011","0 - 4 years","Both sexes","Midland","Thousand","23.9"
"Estimated Population (Persons in April)","2011","0 - 4 years","Male","State","Thousand","182"
"Estimated Population (Persons in April)","2011","0 - 4 years","Male","Border","Thousand","15.8"
"Estimated Population (Persons in April)","2011","0 - 4 years","Male","West","Thousand","16.6"
"Estimated Population (Persons in April)","2011","0 - 4 years","Male","Mid-West","Thousand","18"
"Estimated Population (Persons in April)","2011","0 - 4 years","Male","South-East","Thousand","16.4"
"Estimated Population (Persons in April)","2011","0 - 4 years","Male","South-West","Thousand","25.5"
"Estimated Population (Persons in April)","2011","0 - 4 years","Male","Dublin","Thousand","47.6"
"Estimated Population (Persons in April)","2011","0 - 4 years","Male","Mid-East","Thousand","29.7"
"Estimated Population (Persons in April)","2011","0 - 4 years","Male","Midland","Thousand","12.3"
"Estimated Population (Persons in April)","2011","0 - 4 years","Female","State","Thousand","174.1"
"Estimated Population (Persons in April)","2011","0 - 4 years","Female","Border","Thousand","15"
"Estimated Population (Persons in April)","2011","0 - 4 years","Female","West","Thousand","16"
"Estimated Population (Persons in April)","2011","0 - 4 years","Female","Mid-West","Thousand","17"
"Estimated Population (Persons in April)","2011","0 - 4 years","Female","South-East","Thousand","15.6"
"Estimated Population (Persons in April)","2011","0 - 4 years","Female","South-West","Thousand","24.6"
"Estimated Population (Persons in April)","2011","0 - 4 years","Female","Dublin","Thousand","45.7"
"Estimated Population (Persons in April)","2011","0 - 4 years","Female","Mid-East","Thousand","28.7"
"Estimated Population (Persons in April)","2011","0 - 4 years","Female","Midland","Thousand","11.6"
"Estimated Population (Persons in April)","2011","5 - 9 years","Both sexes","State","Thousand","319.6"
"Estimated Population (Persons in April)","2011","5 - 9 years","Both sexes","Border","Thousand","28.4"
"Estimated Population (Persons in April)","2011","5 - 9 years","Both sexes","West","Thousand","30.8"
"Estimated Population (Persons in April)","2011","5 - 9 years","Both sexes","Mid-West","Thousand","32.4"
"Estimated Population (Persons in April)","2011","5 - 9 years","Both sexes","South-East","Thousand","30.1"
"Estimated Population (Persons in April)","2011","5 - 9 years","Both sexes","South-West","Thousand","44.9"
"Estimated Population (Persons in April)","2011","5 - 9 years","Both sexes","Dublin","Thousand","78.6"
"Estimated Population (Persons in April)","2011","5 - 9 years","Both sexes","Mid-East","Thousand","52.4"
"Estimated Population (Persons in April)","2011","5 - 9 years","Both sexes","Midland","Thousand","21.9"
"Estimated Population (Persons in April)","2011","5 - 9 years","Male","State","Thousand","163.5"
"Estimated Population (Persons in April)","2011","5 - 9 years","Male","Border","Thousand","14.7"
"Estimated Population (Persons in April)","2011","5 - 9 years","Male","West","Thousand","15.7"
"Estimated Population (Persons in April)","2011","5 - 9 years","Male","Mid-West","Thousand","16.4"
"Estimated Population (Persons in April)","2011","5 - 9 years","Male","South-East","Thousand","15.4"
"Estimated Population (Persons in April)","2011","5 - 9 years","Male","South-West","Thousand","23"
"Estimated Population (Persons in April)","2011","5 - 9 years","Male","Dublin","Thousand","40"
"Estimated Population (Persons in April)","2011","5 - 9 years","Male","Mid-East","Thousand","27"
"Estimated Population (Persons in April)","2011","5 - 9 years","Male","Midland","Thousand","11.2"
"Estimated Population (Persons in April)","2011","5 - 9 years","Female","State","Thousand","156.2"
"Estimated Population (Persons in April)","2011","5 - 9 years","Female","Border","Thousand","13.7"
"Estimated Population (Persons in April)","2011","5 - 9 years","Female","West","Thousand","15.1"
"Estimated Population (Persons in April)","2011","5 - 9 years","Female","Mid-West","Thousand","16"
"Estimated Population (Persons in April)","2011","5 - 9 years","Female","South-East","Thousand","14.7"
"Estimated Population (Persons in April)","2011","5 - 9 years","Female","South-West","Thousand","21.9"
"Estimated Population (Persons in April)","2011","5 - 9 years","Female","Dublin","Thousand","38.6"
"Estimated Population (Persons in April)","2011","5 - 9 years","Female","Mid-East","Thousand","25.4"
"Estimated Population (Persons in April)","2011","5 - 9 years","Female","Midland","Thousand","10.8"
"Estimated Population (Persons in April)","2011","10 - 14 years","Both sexes","State","Thousand","301"
"Estimated Population (Persons in April)","2011","10 - 14 years","Both sexes","Border","Thousand","28.1"
"Estimated Population (Persons in April)","2011","10 - 14 years","Both sexes","West","Thousand","29"
"Estimated Population (Persons in April)","2011","10 - 14 years","Both sexes","Mid-West","Thousand","32"
"Estimated Population (Persons in April)","2011","10 - 14 years","Both sexes","South-East","Thousand","28.5"
"Estimated Population (Persons in April)","2011","10 - 14 years","Both sexes","South-West","Thousand","43.3"
"Estimated Population (Persons in April)","2011","10 - 14 years","Both sexes","Dublin","Thousand","72.8"
"Estimated Population (Persons in April)","2011","10 - 14 years","Both sexes","Mid-East","Thousand","46.9"
"Estimated Population (Persons in April)","2011","10 - 14 years","Both sexes","Midland","Thousand","20.4"
"Estimated Population (Persons in April)","2011","10 - 14 years","Male","State","Thousand","154.5"
"Estimated Population (Persons in April)","2011","10 - 14 years","Male","Border","Thousand","14.5"
"Estimated Population (Persons in April)","2011","10 - 14 years","Male","West","Thousand","14.8"
"Estimated Population (Persons in April)","2011","10 - 14 years","Male","Mid-West","Thousand","16.3"
"Estimated Population (Persons in April)","2011","10 - 14 years","Male","South-East","Thousand","14.6"
"Estimated Population (Persons in April)","2011","10 - 14 years","Male","South-West","Thousand","22.1"
"Estimated Population (Persons in April)","2011","10 - 14 years","Male","Dublin","Thousand","37.5"
